word,freq
presidente,92470
governo,90788
disse,87032
dilma,75299
segundo,64503
sobre,63202
federal,61149
ser,59809
folha,54914
paulo,53975
afirmou,52927
ainda,46353
contra,46041
lula,43855
ter,41954
ministro,41885
nesta,40341
câmara,37889
diz,37637
brasil,36497
the,35195
ano,33673
partido,33225
política,33192
ministério,32984
tribunal,32748
justiça,32345
caso,32046
anos,31689
vai,31096
estado,30865
após,30310
psdb,30247
deputado,29494
campanha,29387
país,28744
público,28405
dois,28312
processo,27281
senado,27161
rousseff,26146
eleitoral,26109
dia,26099
josé,25773
casa,25597
decisão,25237
corrupção,25229
pode,25156
milhões,24703
pmdb,24650
stf,24409
nacional,24405
rio,24166
poder,24144
senador,23948
acordo,23715
hoje,23626
candidato,23189
porque,23088
supremo,21711
deputados,21540
governador,21449
mil,21401
ex-presidente,21311
fazer,21193
pessoas,21125
congresso,20855
dias,20478
polícia,20446
petista,20323
durante,20177
eduardo,20102
empresa,20013
deve,19893
comissão,19889
petrobras,19678
cunha,19390
pedido,19039
livraria,18888
desde,18845
dinheiro,18788
outros,18698
serra,18675
reportagem,18560
operação,18499
defesa,18421
três,18361
semana,18349
todos,18317
parte,18301
agora,18261
lei,17941
grupo,17737
apenas,17636
além,17442
jato,17422
desta,17409
temer,17242
presidência,17178
silva,17131
aécio,17012
lava,17010
antes,16822
primeiro,16312
república,16217
maior,16141
recursos,16021
apoio,15976
votos,15823
havia,15806
projeto,15699
eleições,15235
afirma,15212
outro,14909
fernando,14893
cargo,14881
relação,14786
sido,14725
fez,14680
empresas,14324
onde,14138
luiz,14110
menos,14109
votação,14078
mensalão,13861
nome,13703
novo,13651
brasília,13571
ministros,13512
vez,13443
and,13265
ação,13229
eleição,13205
nota,13193
político,13184
meio,13165
então,13154
psb,13151
duas,13094
grande,13047
prisão,13047
prefeito,13012
planalto,12978
partidos,12938
proposta,12931
contas,12866
programa,12818
campos,12801
qualquer,12750
passado,12707
impeachment,12699
tucano,12651
esquema,12648
voto,12590
oposição,12521
quarta-feira,12309
neste,12265
marina,12262
valor,12128
momento,12089
base,12072
mandato,12045
julgamento,11925
comentar,11923
trabalho,11887
civil,11822
investigação,11800
tempo,11735
terça-feira,11727
início,11625
advogado,11586
direito,11535
cerca,11522
forma,11508
final,11464
quatro,11462
luta,11394
notícias,11387
nova,11381
políticos,11362
estados,11323
primeira,11312
publicidade,11225
reunião,11184
candidatos,11162
termos,11115
fim,11003
turno,10970
união,10968
sendo,10930
texto,10907
ontem,10829
lado,10776
líder,10774
veja,10759
cidade,10708
quinta-feira,10680
disputa,10646
conselho,10598
crise,10569
sob,10558
meses,10471
têm,10446
saúde,10391
conta,10301
juiz,10287
todo,10269
feito,10189
bilhões,10150
janeiro,10112
pública,10020
costa,10018
prefeitura,10002
cada,9981
deste,9930
fundamentais,9861
joão,9824
cpi,9784
segunda-feira,9766
gestão,9687
dallagnol,9656
minas,9614
renan,9600
deltan,9486
carlos,9484
taylor,9451
alckmin,9426
conceitos,9409
investigações,9403
banco,9390
outras,9382
teorias,9349
senadores,9303
steven,9300
chegou,9267
pesquisa,9222
candidatura,9193
palácio,9162
plenário,9130
atual,9088
pagamento,9037
assim,9019
cinco,8971
faz,8970
sexta-feira,8952
sempre,8914
estadual,8873
roberto,8853
recebeu,8833
mês,8822
depoimento,8724
filho,8720
ex-ministro,8664
imprensa,8644
quer,8631
jornal,8577
públicos,8532
obras,8522
aliados,8492
apesar,8491
condiçõ,8461
fato,8455
henrique,8420
frente,8408
área,8401
relator,8370
propina,8321
gente,8318
pediu,8293
discurso,8263
família,8259
dar,8255
alguns,8219
segurança,8219
informações,8215
crime,8185
segunda,8173
parlamentares,8143
medida,8140
barbosa,8080
partir,8080
bem,8054
possível,8054
evento,7990
outra,7987
todas,7965
entrevista,7960
vamos,7950
questão,7935
neves,7930
medidas,7906
dizer,7893
participação,7891
situação,7880
reforma,7854
preso,7840
nunca,7832
número,7830
social,7824
última,7779
vem,7755
brasileira,7723
domingo,7675
exemplo,7672
ficou,7666
odebrecht,7640
principais,7638
noite,7626
superior,7620
debate,7613
encontro,7604
assessoria,7600
época,7599
local,7586
região,7564
feita,7559
haddad,7556
delação,7550
tse,7535
período,7510
informou,7506
vida,7488
sessão,7462
porém,7460
constituição,7452
denúncia,7416
ações,7408
principal,7408
contratos,7377
tarde,7351
nenhum,7350
advogados,7337
empresário,7331
prazo,7328
peemedebista,7316
sul,7303
manhã,7297
entanto,7279
podem,7254
aqui,7223
dados,7219
economia,7191
sistema,7181
ato,7169
capital,7158
militar,7154
pontos,7145
corte,7139
passada,7139
enquanto,7133
nada,7111
tudo,7111
that,7107
crimes,7098
pessoa,7071
dirceu,7070
falar,7054
mundo,7046
michel,7042
inácio,7009
vezes,6966
oficial,6924
educação,6885
secretaria,6883
brasileiro,6869
reeleição,6851
próprio,6844
dentro,6827
documento,6824
poderia,6714
vice-presidente,6669
último,6654
dem,6647
paulista,6619
críticas,6594
responsável,6576
maioria,6568
servidores,6564
página,6533
inquérito,6474
canais,6473
mulher,6470
integrantes,6465
vice,6455
direitos,6442
vão,6438
econômica,6434
precisa,6418
casos,6403
candidata,6394
relatório,6393
acesso,6391
twitter,6387
pouco,6384
votar,6373
eleitores,6366
volta,6349
negou,6347
especial,6330
passou,6316
últimos,6269
movimento,6246
ministra,6243
sociais,6241
quase,6195
rede,6186
total,6182
análise,6156
fazenda,6145
disso,6112
parlamentar,6102
instituto,6092
serviços,6077
aumento,6066
deu,6053
órgão,6046
resultado,6023
facebook,5990
hora,5968
março,5966
melhor,5966
sociedade,5960
líderes,5937
seis,5937
acho,5931
secretário,5927
devem,5919
bancada,5911
possibilidade,5892
agosto,5862
dez,5853
alvo,5851
documentos,5848
sérgio,5837
ricardo,5825
valores,5824
executivo,5821
fiscal,5807
datafolha,5804
decidiu,5804
saída,5798
junho,5773
sábado,5766
mudança,5760
objetivo,5758
tentar,5747
eleito,5742
petistas,5740
eua,5733
leia,5721
ex-governador,5719
evitar,5711
propaganda,5689
comando,5683
cargos,5682
setor,5668
marco,5665
manifestantes,5655
deixar,5654
nesse,5651
favor,5624
população,5624
pena,5618
crescimento,5611
estatal,5602
vídeo,5595
inflação,5585
