word,freq
governo,81644
presidente,81512
dilma,65799
disse,59100
ser,55237
sobre,48165
federal,45621
paulo,44437
política,43144
lula,42242
segundo,40100
partido,38478
ainda,38269
afirmou,38149
estado,37340
brasil,36391
ter,33382
ministro,32068
anos,29666
campanha,28441
contra,28214
psdb,28203
vai,28001
país,27614
câmara,26740
político,25291
ministério,25097
pmdb,24908
público,24844
pode,24633
candidato,24271
deputado,23994
processo,23132
eleitoral,23017
nacional,22620
caso,22531
ano,22149
josé,22029
justiça,21718
fazer,21610
porque,21185
dois,20786
ex-presidente,20705
diz,20474
rousseff,20359
políticos,20125
tribunal,20060
todos,19900
senador,19176
nesta,19052
hoje,19042
dia,18348
casa,18160
senado,17960
lei,17652
lava,17435
governador,17395
jato,17383
pessoas,17362
corrupção,17321
partidos,17174
após,17173
temer,17131
eduardo,17078
serra,16697
congresso,16672
parte,16642
agora,16638
silva,16603
decisão,16543
república,16459
milhões,16426
além,16377
apenas,16127
outros,16001
apoio,15756
supremo,15370
aécio,15349
dinheiro,15329
maior,15274
deve,15262
deputados,15021
petista,14975
rio,14948
brasília,14943
mil,14842
acordo,14787
poder,14753
relação,14740
primeiro,14739
durante,14612
luiz,14214
projeto,14065
operação,14012
fernando,13967
cunha,13942
desde,13870
defesa,13868
tempo,13805
prefeito,13767
presidência,13767
eleição,13678
vez,13645
qualquer,13479
antes,13438
grande,13438
psb,13300
comissão,13168
base,13145
stf,13087
eleições,13022
dias,12971
forma,12941
momento,12833
recursos,12775
menos,12633
três,12624
sido,12501
fez,12483
marina,12478
votos,12412
onde,12408
grupo,12253
então,12192
petrobrás,12114
outro,12057
nome,12026
polícia,11935
oposição,11914
meio,11722
ação,11608
direito,11518
novo,11512
semana,11493
pública,11463
assim,11448
tucano,11413
mandato,11408
programa,11403
cargo,11155
empresa,11145
campos,11045
líder,10987
candidatos,10883
pedido,10810
planalto,10804
voto,10746
empresas,10663
fim,10590
impeachment,10484
proposta,10475
sempre,10411
sendo,10362
bem,10315
todo,10315
fato,10309
contas,10208
duas,10184
civil,10143
crise,10070
cada,10060
gestão,10042
têm,10008
afirma,9995
reforma,9986
ministros,9948
tudo,9791
políticas,9747
questão,9746
parlamentares,9724
nova,9673
trabalho,9600
turno,9586
candidatura,9523
atual,9516
esquema,9500
primeira,9463
sociedade,9463
cidade,9419
havia,9384
informações,9174
ontem,9159
julgamento,9137
haddad,9094
disputa,9091
direitos,9058
mensalão,9021
passado,8968
conta,8950
discurso,8900
nada,8855
dar,8750
vamos,8748
estados,8712
saúde,8700
faz,8621
quer,8581
públicos,8545
sistema,8539
reunião,8537
inácio,8498
vida,8406
investigação,8367
prefeitura,8367
outras,8343
sob,8333
dizer,8325
joão,8318
social,8311
gente,8280
votação,8257
neste,8240
estadual,8218
lado,8117
carlos,8096
exemplo,8080
brasileira,8047
feito,8020
início,8017
alckmin,8015
mundo,7956
final,7955
situação,7901
possível,7897
nunca,7870
roberto,7810
todas,7787
palácio,7779
costa,7762
alguns,7752
quatro,7739
nota,7705
união,7648
outra,7600
quanto,7582
desta,7552
prisão,7548
investigações,7504
brasileiro,7491
henrique,7451
apesar,7429
juiz,7417
ex-ministro,7415
debate,7395
entrevista,7390
crime,7360
partir,7356
população,7284
sociais,7257
educação,7224
próprio,7203
imprensa,7197
nenhum,7115
aqui,7077
chegou,7018
capital,7010
valor,6978
economia,6975
vem,6967
parlamentar,6965
ações,6960
melhor,6927
pouco,6908
constituição,6897
janeiro,6891
econômica,6875
vezes,6874
texto,6867
frente,6866
importante,6832
corte,6820
neves,6773
participação,6770
reeleição,6768
precisa,6763
disso,6754
meses,6746
michel,6732
encontro,6723
segurança,6721
nesse,6716
aliados,6690
área,6677
podem,6651
falar,6632
sérgio,6622
porém,6573
advogado,6551
candidata,6545
conselho,6517
renan,6513
medidas,6483
executivo,6474
cpi,6439
relator,6420
enquanto,6397
petistas,6364
jornal,6322
quarta-feira,6308
poderia,6289
filho,6285
problema,6278
dirceu,6252
odebrecht,6241
pessoa,6220
acho,6216
democracia,6213
preciso,6184
minas,6181
dentro,6177
banco,6175
família,6151
história,6146
entanto,6129
paulista,6117
deste,6102
terça-feira,6041
cargos,6032
número,6016
maioria,6006
crimes,6002
senadores,5990
período,5981
psd,5978
quase,5974
cerca,5931
secretaria,5931
denúncia,5907
quinta-feira,5907
principais,5895
desenvolvimento,5892
tanto,5882
críticas,5864
kassab,5855
obras,5855
vice,5844
dem,5836
principal,5817
administração,5815
coisa,5801
segunda-feira,5780
verdade,5774
falta,5759
favor,5759
vão,5751
recebeu,5733
ficou,5729
possibilidade,5719
movimento,5698
deu,5694
fiscal,5684
pagamento,5677
cinco,5665
mesma,5664
últimos,5653
povo,5643
força,5637
avaliação,5606
feita,5582
valores,5546
tipo,5508
dados,5507
rede,5506
municipal,5482
contratos,5477
pois,5462
tse,5443
serviços,5433
bancada,5432
delação,5427
dessa,5422
propina,5422
vice-presidente,5421
aliança,5405
diante,5405
ver,5388
quais,5377
brasileiros,5373
medida,5373
nenhuma,5358
problemas,5357
barbosa,5349
integrantes,5340
plenário,5336
bilhões,5333
casos,5331
tema,5330
época,5307
propostas,5304
ninguém,5298
respeito,5293
pesquisas,5272
desse,5260
documento,5256
embora,5256
objetivo,5236
países,5229
estar,5215
eleito,5209
região,5199
setor,5195
ato,5168
ideia,5167
papel,5156
depoimento,5152
sexta-feira,5152
tucanos,5152
posição,5151
própria,5142
pediu,5131
evento,5127
ricardo,5127
assunto,5096
projetos,5096
mudança,5081
ordem,5079
ponto,5077
públicas,5068
bom,5053
campanhas,5048
deixar,5043
nomes,5041
sul,5034
advogados,5022
especial,5004
superior,5e3
legenda,4988
ex-governador,4981
aprovação,4968
responsabilidade,4963
eleitorais,4957
líderes,4936
resultado,4934
última,4928
secretário,4923
tão,4921
causa,4915
prática,4913
relações,4913
lista,4898
eleitores,4888
prazo,4886
agenda,4881
geral,4861
nessa,4842
denúncias,4835
pesquisa,4822
acesso,4819
passou,4815
atuação,4805
toda,4799
caixa,4795
presidencial,4793
alvo,4773
defendeu,4770
judiciário,4762
vou,4753
manter,4744
controle,4739
passada,4717
cidades,4710
lugar,4683
lavagem,4660
crescimento,4656
preso,4645
ficar,4643
criação,4633
militar,4630
inclusive,4628
devem,4606
estatal,4590
internacional,4580
plano,4576
tarde,4565
claro,4563
moro,4558
empresário,4529
chapa,4525
oficial,4518
sim,4518
tentar,4517
noite,4507
segunda,4504
mês,4489
responsável,4483
estratégia,4475
existe,4463
interesse,4438
fatos,4404
antonio,4400
manhã,4400
peemedebista,4398
boa,4383
instituto,4374
muitos,4370
ministra,4369
assessoria,4366
votar,4329
espaço,4328
penal,4325
legislativo,4310
geraldo,4308
comando,4306
fazenda,4304
pena,4298
total,4298
pretende,4283
mulher,4280
opinião,4275
futuro,4274
sessão,4270
declarou,4254
central,4251
forte,4251
discussão,4249
municípios,4247
deixou,4245
evitar,4244
pernambuco,4238
comunicação,4237
humanos,4223
horas,4218
hora,4214
combate,4205
equipe,4195
sabe,4189
grandes,4178
aumento,4159
econômico,4155
uso,4141
saída,4115
inquérito,4104
informou,4103
fala,4100
volta,4084
cenário,4083
relatório,4081
maia,4077
local,4072
mudanças,4071
destacou,4068
condições,4067
governos,4054
demais,4051
reportagem,4050
processos,4049
ex-diretor,4038
março,4038
pessoal,4023
propaganda,4e3
documentos,3999
palavra,3993
vista,3988
novas,3942
manifestações,3938
centro,3932
